date,time,park,land,attraction,wait_time,is_open
2026-08-01,08:10,Tokyo Disneyland,,“it's a small world”,0,False
2026-08-01,08:10,Tokyo Disneyland,Fantasyland,Alice's Tea Party,0,False
2026-08-01,08:10,Tokyo Disneyland,Critter Country,Beaver Brothers Explorer Canoes,0,False
2026-08-01,08:10,Tokyo Disneyland,Westernland,Big Thunder Mountain,0,False
2026-08-01,08:10,Tokyo Disneyland,Fantasyland,Castle Carrousel,0,False
2026-08-01,08:10,Tokyo Disneyland,Toontown,Chip 'n Dale's Treehouse,0,False
2026-08-01,08:10,Tokyo Disneyland,Fantasyland,Cinderella's Fairy Tale Hall,0,False
2026-08-01,08:10,Tokyo Disneyland,Westernland,Country Bear Theater,0,False
2026-08-01,08:10,Tokyo Disneyland,Toontown,Donald's Boat,0,False
2026-08-01,08:10,Tokyo Disneyland,Fantasyland,Dumbo The Flying Elephant,0,False
2026-08-01,08:10,Tokyo Disneyland,Fantasyland,Enchanted Tale of Beauty and the Beast,0,False
2026-08-01,08:10,Tokyo Disneyland,Toontown,Gadget's Go Coaster,0,False
2026-08-01,08:10,Tokyo Disneyland,Toontown,Goofy's Paint 'n' Play House,0,False
2026-08-01,08:10,Tokyo Disneyland,Critter Country,Haunted Mansion,0,False
2026-08-01,08:10,Tokyo Disneyland,Adventureland,Jungle Cruise: Wildlife Expeditions,0,False
2026-08-01,08:10,Tokyo Disneyland,Westernland,Mark Twain Riverboat,0,False
2026-08-01,08:10,Tokyo Disneyland,Fantasyland,Mickey's PhilharMagic,0,False
2026-08-01,08:10,Tokyo Disneyland,Toontown,Minnie's House,0,False
2026-08-01,08:10,Tokyo Disneyland,Tomorrowland,"Monsters, Inc. Ride & Go Seek!",0,False
2026-08-01,08:10,Tokyo Disneyland,World Bazaar,Omnibus,0,False
2026-08-01,08:10,Tokyo Disneyland,World Bazaar,Penny Arcade,0,False
2026-08-01,08:10,Tokyo Disneyland,Fantasyland,Peter Pan's Flight,0,False
2026-08-01,08:10,Tokyo Disneyland,Fantasyland,Pinocchio's Daring Journey,0,False
2026-08-01,08:10,Tokyo Disneyland,Adventureland,Pirates of the Caribbean,0,False
2026-08-01,08:10,Tokyo Disneyland,Critter Country,Pooh's Hunny Hunt,0,False
2026-08-01,08:10,Tokyo Disneyland,Toontown,Roger Rabbit's Car Toon Spin,0,False
2026-08-01,08:10,Tokyo Disneyland,Fantasyland,Snow White's Adventures,0,False
